bibliography.congress classifications,bibliography.languages,bibliography.subjects,bibliography.title,bibliography.type,metadata.downloads,metadata.id,metadata.rank,metadata.url,bibliography.author.birth,bibliography.author.death,bibliography.author.name,bibliography.publication.day,bibliography.publication.full,bibliography.publication.month,bibliography.publication.month name,bibliography.publication.year,metadata.formats.total,metadata.formats.types,metrics.difficulty.automated readability index,metrics.difficulty.coleman liau index,metrics.difficulty.dale chall readability score,metrics.difficulty.difficult words,metrics.difficulty.flesch kincaid grade,metrics.difficulty.flesch reading ease,metrics.difficulty.gunning fog,metrics.difficulty.linsear write formula,metrics.difficulty.smog index,metrics.sentiments.polarity,metrics.sentiments.subjectivity,metrics.statistics.average letter per word,metrics.statistics.average sentence length,metrics.statistics.average sentence per word,metrics.statistics.characters,metrics.statistics.polysyllables,metrics.statistics.sentences,metrics.statistics.syllables,metrics.statistics.words
PR,en,"English drama -- Early modern and Elizabethan, 1500-1600",The Complete Works of William Shakespeare,Text,4166,100,56,https://www.gutenberg.org/ebooks/100,1564,1616,"Shakespeare, William",1,"January, 1994",1,January,1994,6,"text/html,text/plain; charset=us-ascii,text/plain,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",7.9,9.62,5.15,45905,5.2,82.65,7.6,52,3.1,0.1612295008,0.5319494401,4.74,14,0.07,4183870,10391,62662,1138463.1,882996
PR,en,"Criminals -- Fiction,Orphans -- Fiction,Bildungsromans,London (England) -- Fiction,Kidnapping victims -- Fiction,Boys -- Fiction",Oliver Twist,Text,4066,730,57,https://www.gutenberg.org/ebooks/730,1812,1870,"Dickens, Charles",1,"November, 1996",11,November,1996,6,"text/html; charset=iso-8859-1,text/plain,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",10.5,10.67,5.85,13659,6.4,79.6,8.8,27.5,3.1,0.08524467196,0.4930866916,4.87,17,0.06,768704,3916,8818,212969.7,157966
PR,en,"Africa -- Fiction,Psychological fiction,Imperialism -- Fiction,Trading posts -- Fiction,Europeans -- Africa -- Fiction,Degeneration -- fiction",Heart of Darkness,Text,3957,526,58,https://www.gutenberg.org/ebooks/526,1857,1924,"Conrad, Joseph",9,"January 9, 2006",1,January,2006,6,"text/html,text/plain; charset=us-ascii,text/plain,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",9,9.8,6.68,5410,7.2,72.16,8.4,13,3.1,0.04865516543,0.5031388548,4.72,16,0.06,179060,1128,2309,51667.2,37926
PR,en,English literature -- History and criticism,English Literature: Its History and Its Significance for the Life of the English-Speaking World,Text,3933,10609,59,https://www.gutenberg.org/ebooks/10609,1867,1952,"Long, William J. (William Joseph)",6,"January 6, 2004",1,January,2004,8,"text/html; charset=iso-8859-1,text/plain,text/plain; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",15,13.12,6.31,20473,11.1,56.59,11.2,19,8.8,0.1612276937,0.4742824651,5.19,23,0.04,1095489,9421,8806,313941.6,210885
PS,en,"Short stories;United States -- History -- Civil War, 1861-1865 -- Fiction;Prisoners -- Fiction",An Occurrence at Owl Creek Bridge,Text,3850,375,60,https://www.gutenberg.org/ebooks/375,1842,1913,"Bierce, Ambrose",19,"March 19, 2008",3,March,2008,7,"text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,application/x-mobipocket-ebook",10.8,10.91,7.65,740,7.9,70.13,9.2,10.5,3.1,0.05319318393,0.4774153502,4.86,18,0.05,18193,102,200,5162.4,3744
JC,en,"Toleration -- Early works to 1800,Liberty -- Early works to 1800,Political science -- Early works to 1800",Second Treatise of Government,Text,3842,7370,61,https://www.gutenberg.org/ebooks/7370,1632,1704,"Locke, John",1,"January, 2005",1,January,2005,7,"text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,text/plain",27.9,10.98,7.64,4737,22,33.59,23.6,7,8.8,0.1282687278,0.5010064127,4.72,54,0.02,266846,2015,1043,80451,56543
BS,en,Bible,The King James Version of the Bible,Text,3776,10,62,https://www.gutenberg.org/ebooks/10,0,0,Unknown,2,"March 2, 2011",3,March,2011,7,"text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,application/x-mobipocket-ebook",13.6,9.06,1.74,20764,9.1,77.91,12.8,7.5,3.1,0.1157352659,0.5157096436,4.49,27,0.04,3684178,9815,29667,991401.3,821130
HQ,en,"Pornography,Sex addicts -- Biography,Erotic literature","My Secret Life, Volumes I. to III.: 1888 Edition",Text,3765,30360,63,https://www.gutenberg.org/ebooks/30360,0,0,Anonymous,1,"January 1, 1888",1,January,1888,8,"text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/html; charset=us-ascii",8,7.72,5.41,14622,6.8,78.59,9.2,8.5,3.1,0.04672881966,0.4668574405,4.31,18,0.05,1124639,3737,14292,328711.5,260851
"PZ,PS",en,"Fantasy,Oz (Imaginary place) -- Fiction",The Wonderful Wizard of Oz,Text,3704,55,64,https://www.gutenberg.org/ebooks/55,1856,1919,"Baum, L. Frank (Lyman Frank)",1,"July 1, 2008",7,July,2008,7,"text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,text/plain",8.7,8.47,5.48,2376,5.6,87.05,9.2,1.5,3.1,0.1229120952,0.517479858,4.44,18,0.05,175909,205,2152,49077.9,39588
PR,en,"Detective and mystery stories;Holmes, Sherlock (Fictitious character) -- Fiction;Private investigators -- England -- Fiction;Blessing and cursing -- Fiction;Dogs -- Fiction;Dartmoor (England) -- Fiction",The Hound of the Baskervilles,Text,3677,2852,66,https://www.gutenberg.org/ebooks/2852,1859,1930,"Doyle, Arthur Conan",1,"October, 2001",10,October,2001,6,"text/html; charset=us-ascii,text/plain; charset=us-ascii,text/plain,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",8,8.99,5.84,5482,5.6,81.63,8,5.5,3.1,0.06625768485,0.4953839831,4.58,15,0.06,270731,1301,3768,77996.7,59122
